id_x,user_id,book_id,quantity,unit_price,timestamp,shipping,id_y,name,address,phone,email,id,title,author,genre,publisher,year,date,paid_price,user_key,author_set
80941,47864,21550,1,67.0,2025-01-11 21:50:11.000,,47864,Buck Wolff,"Apt. 874 3326 Boyle Shore, New Addiehaven, MD 41795-4033",891-409-9431,fausto_terry@reinger.example,21550,All the King's Men,Shanelle Upton,Mystery,Unfinished Monument Press,2010,2025-01-11,67.0,"fausto_terry@reinger.example891-409-9431Apt. 874 3326 Boyle Shore, New Addiehaven, MD 41795-4033","('shanelle upton',)"
81245,47864,22052,2,26.99,2024-03-27 07:46:55.055,,47864,Buck Wolff,"Apt. 874 3326 Boyle Shore, New Addiehaven, MD 41795-4033",891-409-9431,fausto_terry@reinger.example,22052,Cidade de Deus,Johnny Russel,Reference book,Gay Men's Press,1979,2024-03-27,53.98,"fausto_terry@reinger.example891-409-9431Apt. 874 3326 Boyle Shore, New Addiehaven, MD 41795-4033","('johnny russel',)"
78477,48918,21367,1,30.0,2025-06-29 23:17:51.000,,48918,Ludivina Barton,"3613 Lanita Terrace, New Michalhaven, MS 19919-1667",553.378.3093,loyce@gottlieb-durgan.example,21367,Platoon,Ms. Kami Prosacco,Tall tale,Black Dog Publishing,1991,2025-06-29,30.0,"loyce@gottlieb-durgan.example553.378.30933613 Lanita Terrace, New Michalhaven, MS 19919-1667","('ms. kami prosacco',)"
86303,48092,21724,1,18.0,2024-11-06 09:29:00.000,,48092,Lazaro Gutkowski,"Suite 341 14445 Cyrstal Trafficway, South Daren, MI 09887",(199) 483-6925,howard@jakubowski.test,21724,The Doors of Perception,Amos Romaguera Jr.,Horror,Etruscan Press,2012,2024-11-06,18.0,"howard@jakubowski.test(199) 483-6925Suite 341 14445 Cyrstal Trafficway, South Daren, MI 09887","('amos romaguera jr.',)"
81990,48418,21441,1,24.99,2024-09-16 15:05:39.000,,48418,Joey Kuhn,"731 Prosacco Street, Adalinehaven, ME 58660",648 168 5886,vicki_mertz@abshire.test,21441,The Godfather,"Edmundo Oberbrunner, Bernard Bayer, Amb. Elia Lebsack",Essay,George Routledge & Sons,1937,2024-09-16,24.99,"vicki_mertz@abshire.test648 168 5886731 Prosacco Street, Adalinehaven, ME 58660","('amb. elia lebsack', 'bernard bayer', 'edmundo oberbrunner')"
82785,50265,21459,2,41.5,2024-06-29 00:13:48.016,,50265,Pres. Margy Feest,"Apt. 105 2561 Ruecker Lights, Morarmouth, RI 37340",311 739 8004,john.turcotte@spencer-kling.example,21459,Wii Sports,Earnest Glover,Speech,Random House,2017,2024-06-29,83.0,"john.turcotte@spencer-kling.example311 739 8004Apt. 105 2561 Ruecker Lights, Morarmouth, RI 37340","('earnest glover',)"
84594,49429,21598,1,19.99,2024-07-06 15:27:00.000,NULL,49429,Gov. Tobias Okuneva,"Apt. 855 48825 Nettie Via, Kuvalischester, ND 06992",771-587-8304,marion.weber@donnelly.example,21598,Metroid Prime 2: Echoes,Wendell Zboncak,Comic/Graphic Novel,"Farrar, Straus & Giroux",1877,2024-07-06,19.99,"marion.weber@donnelly.example771-587-8304Apt. 855 48825 Nettie Via, Kuvalischester, ND 06992","('wendell zboncak',)"
86155,49965,21752,1,61.99,2025-01-08 11:28:42.000,,49965,Spring Daugherty Esq.,"Suite 539 278 Lida Rapids, Lake Coltonport, IA 27687-9720",(475) 520-1032,vicki@schuppe.example,21752,Pokémon SoulSilver,Reginia Weissnat,Metafiction,Carnegie Mellon University Press,1993,2025-01-08,61.99,"vicki@schuppe.example(475) 520-1032Suite 539 278 Lida Rapids, Lake Coltonport, IA 27687-9720","('reginia weissnat',)"
82478,50188,21587,1,69.5,2024-11-08 02:05:08.703,,50188,Jaye Runolfsdottir,"59707 Ezequiel Brooks, Vonborough, ID 50020",517.345.0576,jana_yost@boyle-bayer.test,21587,Command & Conquer: Generals,"Louanne Cruickshank, Lakenya Boyer IV",Essay,Carnegie Mellon University Press,1956,2024-11-08,69.5,"jana_yost@boyle-bayer.test517.345.057659707 Ezequiel Brooks, Vonborough, ID 50020","('lakenya boyer iv', 'louanne cruickshank')"
80811,50433,21899,1,66.99,2024-08-18 04:51:52.000,,50433,Julian Kiehn VM,"1707 Ivory Pass, Jessikachester, NY 91583-4716",906-250-8427,marylou@vandervort.test,21899,Blood's a Rover,"Sean Kassulke, Rosann Wolf VM",Crime/Detective,Felony & Mayhem Press,1976,2024-08-18,66.99,"marylou@vandervort.test906-250-84271707 Ivory Pass, Jessikachester, NY 91583-4716","('rosann wolf vm', 'sean kassulke')"
80319,48403,21729,1,44.99,2025-02-22 21:01:00.000,"605 Durgan Corner, New Marcos, PA 20319-6778",48403,Lorie Wyman,"605 Durgan Corner, New Marcos, PA 20319-6778",561-496-3876,londa_christiansen@green.test,21729,Once Upon a Time in the West,Edith Barrows,Suspense/Thriller,Shire Books,1989,2025-02-22,44.99,"londa_christiansen@green.test561-496-3876605 Durgan Corner, New Marcos, PA 20319-6778","('edith barrows',)"
